year,player,position,player_pos,price,manager
2022,Devin Singletary,RB,Devin Singletary (RB),4,Yiding
2022,Kenneth Walker III,RB,Kenneth Walker III (RB),1,Yiding
2022,Harrison Butker,K,Harrison Butker (K),1,Yiding
2022,Rhamondre Stevenson,RB,Rhamondre Stevenson (RB),3,Yiding
2022,Kirk Cousins,QB,Kirk Cousins (QB),3,Yiding
2022,Brandon Aiyuk,WR,Brandon Aiyuk (WR),2,Yiding
2022,Christian McCaffrey,RB,Christian McCaffrey (RB),64,Goutham
2022,Stefon Diggs,WR,Stefon Diggs (WR),41,Goutham
2022,D'Andre Swift,RB,D'Andre Swift (RB),38,Goutham
2022,Travis Etienne Jr.,RB,Travis Etienne Jr. (RB),17,Goutham
2022,Justin Herbert,QB,Justin Herbert (QB),11,Goutham
2022,Brandin Cooks,WR,Brandin Cooks (WR),16,Goutham
2022,Tyler Higbee,TE,Tyler Higbee (TE),1,Goutham
2022,DeVonta Smith,WR,DeVonta Smith (WR),3,Goutham
2022,Zach Ertz,TE,Zach Ertz (TE),2,Goutham
2022,Chase Claypool,WR,Chase Claypool (WR),1,Goutham
2022,Younghoe Koo,K,Younghoe Koo (K),1,Goutham
2022,Michael Gallup,WR,Michael Gallup (WR),1,Goutham
2022,Ryan Tannehill,QB,Ryan Tannehill (QB),1,Goutham
2022,Nyheim Hines,RB,Nyheim Hines (RB),1,Goutham
2022,Mike Gesicki,TE,Mike Gesicki (TE),1,Goutham
2022,Saquon Barkley,RB,Saquon Barkley (RB),35,Vinny
2022,Justin Jefferson,WR,Justin Jefferson (WR),63,Vinny
2022,Aaron Jones,RB,Aaron Jones (RB),27,Vinny
2022,Marquise Brown,WR,Marquise Brown (WR),12,Vinny
2022,Diontae Johnson,WR,Diontae Johnson (WR),16,Vinny
2022,Darren Waller,TE,Darren Waller (TE),10,Vinny
2022,Dallas Goedert,TE,Dallas Goedert (TE),7,Vinny
2022,Miles Sanders,RB,Miles Sanders (RB),5,Vinny
2022,Russell Wilson,QB,Russell Wilson (QB),4,Vinny
2022,Drake London,WR,Drake London (WR),5,Vinny
2022,James Cook III,RB,James Cook III (RB),1,Vinny
2022,Derek Carr,QB,Derek Carr (QB),5,Vinny
2022,Matt Gay,K,Matt Gay (K),1,Vinny
2022,Jakobi Meyers,WR,Jakobi Meyers (WR),1,Vinny
2022,Allen Lazard,WR,Allen Lazard (WR),6,Vinny
2022,Austin Ekeler,RB,Austin Ekeler (RB),69,Sam
2022,Cooper Kupp,WR,Cooper Kupp (WR),67,Sam
2022,Breece Hall,RB,Breece Hall (RB),8,Sam
2022,Dak Prescott,QB,Dak Prescott (QB),1,Sam
2022,Jaylen Waddle,WR,Jaylen Waddle (WR),15,Sam
2022,Josh Jacobs,RB,Josh Jacobs (RB),8,Sam
2022,Justin Tucker,K,Justin Tucker (K),2,Sam
2022,Gabe Davis,WR,Gabe Davis (WR),8,Sam
2022,Elijah Moore,WR,Elijah Moore (WR),4,Sam
2022,T.J. Hockenson,TE,T.J. Hockenson (TE),3,Sam
2022,Tyler Lockett,WR,Tyler Lockett (WR),2,Sam
2022,Chris Olave,WR,Chris Olave (WR),1,Sam
2022,DeAndre Hopkins,WR,DeAndre Hopkins (WR),1,Sam
2022,Chase Edmonds,RB,Chase Edmonds (RB),4,Sam
2022,Tua Tagovailoa,QB,Tua Tagovailoa (QB),3,Sam
2023,Josh Allen,QB,Josh Allen (QB),32,Noah
2023,Kenneth Walker III,RB,Kenneth Walker III (RB),12,Noah
2023,Chris Godwin,WR,Chris Godwin (WR),16,Noah
2023,Jonathan Taylor,RB,Jonathan Taylor (RB),17,Noah
2023,A.J. Brown,WR,A.J. Brown (WR),46,Noah
2023,Jahmyr Gibbs,RB,Jahmyr Gibbs (RB),36,Noah
2023,Mike Evans,WR,Mike Evans (WR),8,Noah
2023,Tee Higgins,WR,Tee Higgins (WR),25,Noah
2023,Jake Moody,K,Jake Moody (K),1,Noah
2023,Dallas Goedert,TE,Dallas Goedert (TE),2,Noah
2023,Dak Prescott,QB,Dak Prescott (QB),1,Noah
2023,Devin Singletary,RB,Devin Singletary (RB),1,Noah
2023,Rondale Moore,WR,Rondale Moore (WR),1,Noah
2023,Allen Lazard,WR,Allen Lazard (WR),1,Noah
2023,George Kittle,TE,George Kittle (TE),16,Peggy
2023,Christian McCaffrey,RB,Christian McCaffrey (RB),84,Peggy
2023,Stefon Diggs,WR,Stefon Diggs (WR),56,Peggy
2023,Justin Herbert,QB,Justin Herbert (QB),19,Peggy
2023,Mike Williams,WR,Mike Williams (WR),7,Peggy
2023,Brian Robinson Jr.,RB,Brian Robinson Jr. (RB),3,Peggy
2023,Brandin Cooks,WR,Brandin Cooks (WR),3,Peggy
2023,D'Andre Swift,RB,D'Andre Swift (RB),3,Peggy
2023,Juju Smith-Schuster,WR,Juju Smith-Schuster (WR),2,Peggy
2023,Daniel Jones,QB,Daniel Jones (QB),1,Peggy
2023,Tyler Higbee,TE,Tyler Higbee (TE),1,Peggy
2023,Younghoe Koo,K,Younghoe Koo (K),1,Peggy
2023,Tyler Allgeier,RB,Tyler Allgeier (RB),1,Peggy
2023,Patrick Mahomes,QB,Patrick Mahomes (QB),45,Tom
2023,Amon-Ra St. Brown,WR,Amon-Ra St. Brown (WR),52,Tom
2023,DJ Moore,WR,DJ Moore (WR),17,Tom
2023,Aaron Jones,RB,Aaron Jones (RB),22,Tom
2023,Christian Watson,WR,Christian Watson (WR),10,Tom
2023,Gabe Davis,WR,Gabe Davis (WR),6,Tom
2023,Rhamondre Stevenson,RB,Rhamondre Stevenson (RB),19,Tom
2023,T.J. Hockenson,TE,T.J. Hockenson (TE),6,Tom
2023,Rachaad White,RB,Rachaad White (RB),5,Tom
2023,Daniel Carlson,K,Daniel Carlson (K),3,Tom
2023,Terry McLaurin,WR,Terry McLaurin (WR),3,Tom
2023,David Montgomery,RB,David Montgomery (RB),3,Tom
2023,Christian Kirk,WR,Christian Kirk (WR),2,Tom
2023,Treylon Burks,WR,Treylon Burks (WR),4,Tom
2023,Cooper Kupp,WR,Cooper Kupp (WR),77,David
2023,Nick Chubb,RB,Nick Chubb (RB),62,David
2023,Deebo Samuel,WR,Deebo Samuel (WR),18,David
2023,Amari Cooper,WR,Amari Cooper (WR),15,David
2023,Cam Akers,RB,Cam Akers (RB),12,David
2023,Trevor Lawrence,QB,Trevor Lawrence (QB),5,David
2023,Jahan Dotson,WR,Jahan Dotson (WR),3,David
2023,Pat Freiermuth,TE,Pat Freiermuth (TE),1,David
2023,Courtland Sutton,WR,Courtland Sutton (WR),1,David
2023,Evan McPherson,K,Evan McPherson (K),1,David
2023,Brock Purdy,QB,Brock Purdy (QB),1,David
2023,Bryce Young,QB,Bryce Young (QB),1,David
2023,Darnell Mooney,WR,Darnell Mooney (WR),1,David
2023,Elijah Mitchell,RB,Elijah Mitchell (RB),1,David
2023,Austin Ekeler,RB,Austin Ekeler (RB),78,Michael
2023,Bijan Robinson,RB,Bijan Robinson (RB),67,Michael
2023,James Conner,RB,James Conner (RB),13,Michael
2023,Chris Olave,WR,Chris Olave (WR),27,Michael
2023,Diontae Johnson,WR,Diontae Johnson (WR),5,Michael
2023,George Pickens,WR,George Pickens (WR),1,Michael
2023,Dalton Kincaid,TE,Dalton Kincaid (TE),1,Michael
2023,Jaylen Warren,RB,Jaylen Warren (RB),1,Michael
2023,Samaje Perine,RB,Samaje Perine (RB),1,Michael
2023,De'Von Achane,RB,De'Von Achane (RB),1,Michael
2023,Sam LaPorta,TE,Sam LaPorta (TE),1,Michael
2023,Roschon Johnson,RB,Roschon Johnson (RB),1,Michael
2023,Jason Sanders,K,Jason Sanders (K),1,Michael
2023,Jared Goff,QB,Jared Goff (QB),1,Michael
2023,Ja'Marr Chase,WR,Ja'Marr Chase (WR),86,Dongbo
2023,Joe Mixon,RB,Joe Mixon (RB),40,Dongbo
2023,Miles Sanders,RB,Miles Sanders (RB),15,Dongbo
2023,Jaylen Waddle,WR,Jaylen Waddle (WR),39,Dongbo
2023,Justin Fields,QB,Justin Fields (QB),8,Dongbo
2023,Drake London,WR,Drake London (WR),3,Dongbo
2023,David Njoku,TE,David Njoku (TE),1,Dongbo
2023,Harrison Butker,K,Harrison Butker (K),1,Dongbo
2023,DeeJay Dallas,RB,DeeJay Dallas (RB),1,Dongbo
2023,Aaron Rodgers,QB,Aaron Rodgers (QB),1,Dongbo
2023,Chase Brown,RB,Chase Brown (RB),1,Dongbo
2023,Zach Ertz,TE,Zach Ertz (TE),1,Dongbo
2023,Chris Evans,RB,Chris Evans (RB),1,Dongbo
2023,Chuba Hubbard,RB,Chuba Hubbard (RB),1,Dongbo
2023,Keenan Allen,WR,Keenan Allen (WR),30,Yiding
2023,Derrick Henry,RB,Derrick Henry (RB),61,Yiding
2023,CeeDee Lamb,WR,CeeDee Lamb (WR),61,Yiding
2023,DeVonta Smith,WR,DeVonta Smith (WR),27,Yiding
2023,Isiah Pacheco,RB,Isiah Pacheco (RB),6,Yiding
2023,Javonte Williams,RB,Javonte Williams (RB),1,Yiding
2023,Dalton Schultz,TE,Dalton Schultz (TE),1,Yiding
2023,Tua Tagovailoa,QB,Tua Tagovailoa (QB),1,Yiding
2023,Kadarius Toney,WR,Kadarius Toney (WR),1,Yiding
2023,Tank Bigsby,RB,Tank Bigsby (RB),1,Yiding
2023,Odell Beckham Jr.,WR,Odell Beckham Jr. (WR),1,Yiding
2023,Zay Jones,WR,Zay Jones (WR),1,Yiding
2023,Jake Elliott,K,Jake Elliott (K),1,Yiding
2023,Kenny Pickett,QB,Kenny Pickett (QB),1,Yiding
2023,Travis Kelce,TE,Travis Kelce (TE),85,Goutham
2023,Josh Jacobs,RB,Josh Jacobs (RB),55,Goutham
2023,DK Metcalf,WR,DK Metcalf (WR),33,Goutham
2023,DeAndre Hopkins,WR,DeAndre Hopkins (WR),15,Goutham
2023,Skyy Moore,WR,Skyy Moore (WR),2,Goutham
2023,Geno Smith,QB,Geno Smith (QB),1,Goutham
2023,Ezekiel Elliott,RB,Ezekiel Elliott (RB),1,Goutham
2023,Jerick McKinnon,RB,Jerick McKinnon (RB),1,Goutham
2023,DJ Chark,WR,DJ Chark (WR),1,Goutham
2023,Jeff Wilson Jr.,RB,Jeff Wilson Jr. (RB),1,Goutham
2023,Cameron Dicker,K,Cameron Dicker (K),1,Goutham
2023,D'Onta Foreman,RB,D'Onta Foreman (RB),1,Goutham
2023,Tyler Boyd,WR,Tyler Boyd (WR),1,Goutham
2023,Romeo Doubs,WR,Romeo Doubs (WR),1,Goutham
2023,Tony Pollard,RB,Tony Pollard (RB),71,Vinny
2023,Travis Etienne Jr.,RB,Travis Etienne Jr. (RB),39,Vinny
2023,Lamar Jackson,QB,Lamar Jackson (QB),31,Vinny
2023,Breece Hall,RB,Breece Hall (RB),23,Vinny
2023,Zay Flowers,WR,Zay Flowers (WR),3,Vinny
2023,Darren Waller,TE,Darren Waller (TE),11,Vinny
2023,Dalvin Cook,RB,Dalvin Cook (RB),3,Vinny
2023,J.K. Dobbins,RB,J.K. Dobbins (RB),7,Vinny
2023,Jerry Jeudy,WR,Jerry Jeudy (WR),4,Vinny
2023,Jordan Addison,WR,Jordan Addison (WR),1,Vinny
2023,Elijah Moore,WR,Elijah Moore (WR),2,Vinny
2023,Quentin Johnston,WR,Quentin Johnston (WR),1,Vinny
2023,Rashod Bateman,WR,Rashod Bateman (WR),2,Vinny
2023,Tyler Bass,K,Tyler Bass (K),1,Vinny
2023,Saquon Barkley,RB,Saquon Barkley (RB),60,Sam
2023,Justin Jefferson,WR,Justin Jefferson (WR),89,Sam
2023,Mark Andrews,TE,Mark Andrews (TE),29,Sam
2023,Justin Tucker,K,Justin Tucker (K),4,Sam
2023,Adam Thielen,WR,Adam Thielen (WR),2,Sam
2023,Zach Charbonnet,RB,Zach Charbonnet (RB),5,Sam
2023,Michael Thomas,WR,Michael Thomas (WR),3,Sam
2023,Khalil Herbert,RB,Khalil Herbert (RB),1,Sam
2023,Anthony Richardson,QB,Anthony Richardson (QB),1,Sam
2023,Nico Collins,WR,Nico Collins (WR),1,Sam
2023,Rashaad Penny,RB,Rashaad Penny (RB),1,Sam
2023,Russell Wilson,QB,Russell Wilson (QB),1,Sam
2023,Michael Gallup,WR,Michael Gallup (WR),1,Sam
2023,Joshua Kelley,RB,Joshua Kelley (RB),1,Sam
2023,Calvin Ridley,WR,Calvin Ridley (WR),40,Theo
2023,Deshaun Watson,QB,Deshaun Watson (QB),11,Theo
2023,Alvin Kamara,RB,Alvin Kamara (RB),18,Theo
2023,Jalen Hurts,QB,Jalen Hurts (QB),39,Theo
2023,Garrett Wilson,WR,Garrett Wilson (WR),50,Theo
2023,Najee Harris,RB,Najee Harris (RB),17,Theo
2023,Alexander Mattison,RB,Alexander Mattison (RB),14,Theo
2023,Antonio Gibson,RB,Antonio Gibson (RB),2,Theo
2023,Jaxon Smith-Njigba,WR,Jaxon Smith-Njigba (WR),2,Theo
2023,Marquise Brown,WR,Marquise Brown (WR),2,Theo
2023,Evan Engram,TE,Evan Engram (TE),1,Theo
2023,Cole Kmet,TE,Cole Kmet (TE),1,Theo
2023,Jakobi Meyers,WR,Jakobi Meyers (WR),1,Theo
2023,Jason Myers,K,Jason Myers (K),1,Theo
2023,Tyreek Hill,WR,Tyreek Hill (WR),80,Wenlong
2023,Dameon Pierce,RB,Dameon Pierce (RB),27,Wenlong
2023,Davante Adams,WR,Davante Adams (WR),58,Wenlong
2023,James Cook III,RB,James Cook III (RB),7,Wenlong
2023,Joe Burrow,QB,Joe Burrow (QB),8,Wenlong
2023,Kyle Pitts,TE,Kyle Pitts (TE),4,Wenlong
2023,Tyler Lockett,WR,Tyler Lockett (WR),4,Wenlong
2023,Brandon Aiyuk,WR,Brandon Aiyuk (WR),3,Wenlong
2023,Michael Pittman Jr.,WR,Michael Pittman Jr. (WR),1,Wenlong
2023,Raheem Mostert,RB,Raheem Mostert (RB),2,Wenlong
2023,AJ Dillon,RB,AJ Dillon (RB),1,Wenlong
2023,Jamaal Williams,RB,Jamaal Williams (RB),1,Wenlong
2023,Kirk Cousins,QB,Kirk Cousins (QB),1,Wenlong
2023,Graham Gano,K,Graham Gano (K),1,Wenlong
2024,A.J. Brown,WR,A.J. Brown (WR),69,Noah
2024,Stefon Diggs,WR,Stefon Diggs (WR),23,Noah
2024,Josh Allen,QB,Josh Allen (QB),22,Noah
2024,Calvin Ridley,WR,Calvin Ridley (WR),9,Noah
2024,Tee Higgins,WR,Tee Higgins (WR),8,Noah
2024,Rhamondre Stevenson,RB,Rhamondre Stevenson (RB),7,Noah
2024,Tony Pollard,RB,Tony Pollard (RB),8,Noah
2024,Amari Cooper,WR,Amari Cooper (WR),8,Noah
2024,D'Andre Swift,RB,D'Andre Swift (RB),10,Noah
2024,Keenan Allen,WR,Keenan Allen (WR),3,Noah
2024,Zack Moss,RB,Zack Moss (RB),3,Noah
2024,Xavier Worthy,WR,Xavier Worthy (WR),3,Noah
2024,Kyle Pitts,TE,Kyle Pitts (TE),2,Noah
2024,Jake Moody,K,Jake Moody (K),22,Noah
2024,Bijan Robinson,RB,Bijan Robinson (RB),91,Peggy
2024,Amon-Ra St. Brown,WR,Amon-Ra St. Brown (WR),76,Peggy
2024,Kenneth Walker III,RB,Kenneth Walker III (RB),18,Peggy
2024,David Njoku,TE,David Njoku (TE),3,Peggy
2024,Courtland Sutton,WR,Courtland Sutton (WR),1,Peggy
2024,Jordan Addison,WR,Jordan Addison (WR),2,Peggy
2024,Brock Purdy,QB,Brock Purdy (QB),1,Peggy
2024,Harrison Butker,K,Harrison Butker (K),1,Peggy
2024,J.K. Dobbins,RB,J.K. Dobbins (RB),1,Peggy
2024,Dalton Schultz,TE,Dalton Schultz (TE),1,Peggy
2024,Mike Williams,WR,Mike Williams (WR),1,Peggy
2024,Tyrone Tracy Jr.,RB,Tyrone Tracy Jr. (RB),1,Peggy
2024,Braelon Allen,RB,Braelon Allen (RB),1,Peggy
2024,Dontayvion Wicks,WR,Dontayvion Wicks (WR),1,Peggy
2024,Christian McCaffrey,RB,Christian McCaffrey (RB),100,Tom
2024,Mike Evans,WR,Mike Evans (WR),31,Tom
2024,Travis Kelce,TE,Travis Kelce (TE),31,Tom
2024,Jaylen Waddle,WR,Jaylen Waddle (WR),19,Tom
2024,David Montgomery,RB,David Montgomery (RB),9,Tom
2024,Devin Singletary,RB,Devin Singletary (RB),1,Tom
2024,Tua Tagovailoa,QB,Tua Tagovailoa (QB),1,Tom
2024,Ka'imi Fairbairn,K,Ka'imi Fairbairn (K),1,Tom
2024,Brandin Cooks,WR,Brandin Cooks (WR),1,Tom
2024,Chuba Hubbard,RB,Chuba Hubbard (RB),1,Tom
2024,Antonio Gibson,RB,Antonio Gibson (RB),1,Tom
2024,Gabe Davis,WR,Gabe Davis (WR),1,Tom
2024,Ty Chandler,RB,Ty Chandler (RB),1,Tom
2024,Romeo Doubs,WR,Romeo Doubs (WR),1,Tom
2024,Jonathan Taylor,RB,Jonathan Taylor (RB),65,David
2024,C.J. Stroud,QB,C.J. Stroud (QB),13,David
2024,Rachaad White,RB,Rachaad White (RB),27,David
2024,Trey McBride,TE,Trey McBride (TE),18,David
2024,Deebo Samuel,WR,Deebo Samuel (WR),32,David
2024,Tank Dell,RB,Tank Dell (RB),12,David
2024,George Kittle,TE,George Kittle (TE),7,David
2024,Zay Flowers,WR,Zay Flowers (WR),8,David
2024,Brandon Aubrey,K,Brandon Aubrey (K),3,David
2024,Chris Godwin,WR,Chris Godwin (WR),5,David
2024,Joe Burrow,QB,Joe Burrow (QB),4,David
2024,Ezekiel Elliott,RB,Ezekiel Elliott (RB),3,David
2024,Chase Brown,RB,Chase Brown (RB),1,David
2024,Darnell Mooney,WR,Darnell Mooney (WR),1,David
2024,CeeDee Lamb,WR,CeeDee Lamb (WR),71,Michael
2024,Rome Odunze,WR,Rome Odunze (WR),4,Michael
2024,Drake London,WR,Drake London (WR),37,Michael
2024,De'Von Achane,RB,De'Von Achane (RB),38,Michael
2024,Malik Nabers,WR,Malik Nabers (WR),19,Michael
2024,James Conner,RB,James Conner (RB),13,Michael
2024,Rashee Rice,WR,Rashee Rice (WR),5,Michael
2024,Najee Harris,RB,Najee Harris (RB),4,Michael
2024,Jaxon Smith-Njigba,WR,Jaxon Smith-Njigba (WR),2,Michael
2024,Jonathan Brooks,RB,Jonathan Brooks (RB),2,Michael
2024,Jameson Williams,WR,Jameson Williams (WR),1,Michael
2024,Brock Bowers,TE,Brock Bowers (TE),1,Michael
2024,Brett Maher,K,Brett Maher (K),1,Michael
2024,Justin Herbert,QB,Justin Herbert (QB),1,Michael
2024,Caleb Williams,QB,Caleb Williams (QB),6,Dongbo
2024,Derrick Henry,RB,Derrick Henry (RB),47,Dongbo
2024,Ja'Marr Chase,WR,Ja'Marr Chase (WR),73,Dongbo
2024,James Cook III,RB,James Cook III (RB),38,Dongbo
2024,Patrick Mahomes,QB,Patrick Mahomes (QB),13,Dongbo
2024,Lamar Jackson,QB,Lamar Jackson (QB),14,Dongbo
2024,Blake Corum,RB,Blake Corum (RB),1,Dongbo
2024,Tyler Lockett,WR,Tyler Lockett (WR),1,Dongbo
2024,T.J. Hockenson,TE,T.J. Hockenson (TE),1,Dongbo
2024,Kendre Miller,RB,Kendre Miller (RB),1,Dongbo
2024,Greg Zuerlein,K,Greg Zuerlein (K),1,Dongbo
2024,MarShawn Lloyd,RB,MarShawn Lloyd (RB),1,Dongbo
2024,Xavier Legette,WR,Xavier Legette (WR),1,Dongbo
2024,Jaylen Wright,RB,Jaylen Wright (RB),1,Dongbo
2024,Tyreek Hill,WR,Tyreek Hill (WR),73,Yiding
2024,Marvin Harrison Jr.,WR,Marvin Harrison Jr. (WR),49,Yiding
